active_branches,canonical_declining_slots,canonical_high_slots,declining_node,energy_difference_j,equal_cap,high_node,identity_classification,inverse_allocation_l1,inverse_declining_slots,inverse_high_slots,inverse_local_argmax_agreement,inverse_marginal_q_mae,inverse_projected_allocation_agreement,inverse_projected_allocation_disagreement,kind,optimizer_seed,probe_index,raw_allocation_l1,raw_local_argmax_agreement,raw_marginal_q_mae,raw_projected_action_agreement,round,seed,target_rank
64,,,,,,,fixed_branch_identity,20.0,,,0.4375,0.3816848695278168,0.6875,0.3125,random,4299,9,2.0,0.9375,0.09507960826158524,0.96875,10,2300,0
24,,,,,,,fixed_branch_identity,16.0,,,0.5,0.37314701080322266,0.4166666666666667,0.5833333333333334,random,4299,10,0.0,1.0,0.026478715240955353,1.0,11,2300,0
33,,,,,,,fixed_branch_identity,16.0,,,0.5454545454545454,0.29484254121780396,0.5151515151515151,0.48484848484848486,random,4299,11,8.0,0.7878787878787878,0.10299603641033173,0.7575757575757576,13,2300,0
24,,,,,,,fixed_branch_identity,12.0,,,0.4166666666666667,0.5548064112663269,0.5,0.5,random,4299,12,2.0,1.0,0.10664554685354233,0.9166666666666666,14,2300,0
31,,,,,,,fixed_branch_identity,16.0,,,0.6451612903225806,0.2397913783788681,0.4838709677419355,0.5161290322580645,random,4299,13,4.0,0.8387096774193549,0.05842668190598488,0.8709677419354839,15,2300,0
35,,,,,,,fixed_branch_identity,18.0,,,0.45714285714285713,0.26860812306404114,0.4857142857142857,0.5142857142857142,random,4299,14,4.0,0.8571428571428571,0.07651183009147644,0.8857142857142857,16,2300,0
28,,,,,,,fixed_branch_identity,12.0,,,0.42857142857142855,0.34916698932647705,0.5714285714285714,0.42857142857142855,random,4299,15,6.0,0.8214285714285714,0.09070823341608047,0.7857142857142857,17,2300,0
36,,,,,,,fixed_branch_identity,18.0,,,0.5833333333333334,0.2876032590866089,0.5,0.5,random,4299,16,2.0,0.8611111111111112,0.05907634273171425,0.9444444444444444,18,2300,0
50,,,,,,,fixed_branch_identity,16.0,,,0.38,0.4698435068130493,0.7,0.3,random,4299,17,2.0,0.9,0.07807963341474533,0.96,19,2300,0
41,,,,,,,fixed_branch_identity,14.0,,,0.6097560975609756,0.33357417583465576,0.6585365853658537,0.34146341463414637,random,4299,18,2.0,0.975609756097561,0.03179888054728508,0.9512195121951219,20,2300,0
38,,,,,,,fixed_branch_identity,16.0,,,0.42105263157894735,0.36319753527641296,0.5789473684210527,0.42105263157894735,random,4299,19,2.0,0.8421052631578947,0.09115400910377502,0.9473684210526315,21,2300,0
24,1,1,13,0.0,True,5,tie,2.0,0,1,0.875,0.057684555649757385,0.9166666666666666,0.08333333333333333,targeted_swap,4299,0,2.0,0.9583333333333334,0.047192707657814026,0.9166666666666666,0,2300,0
26,0,0,58,0.0,True,97,tie,0.0,0,0,1.0,0.014193559065461159,1.0,0.0,targeted_swap,4299,1,0.0,1.0,0.0021064220927655697,1.0,2,2300,0
26,0,0,58,0.0,True,97,tie,0.0,0,0,1.0,0.01814916729927063,1.0,0.0,targeted_swap,4299,2,0.0,1.0,0.006040194071829319,1.0,3,2300,0
31,1,0,78,0.0,True,52,fixed_branch_identity,2.0,0,1,1.0,0.02514100819826126,0.9354838709677419,0.06451612903225806,targeted_swap,4299,3,0.0,1.0,0.00673706317320466,1.0,4,2300,0
26,0,0,50,0.000203700482197533,True,47,tie,0.0,0,0,0.9230769230769231,0.04038213938474655,1.0,0.0,targeted_swap,4299,4,0.0,1.0,0.023293323814868927,1.0,5,2300,0
25,0,1,84,0.0001665073343815604,True,86,fixed_branch_identity,2.0,1,0,0.92,0.04037998244166374,0.92,0.08,targeted_swap,4299,5,0.0,0.92,0.022774390876293182,1.0,6,2300,0
26,0,1,50,0.00010852397147192994,True,85,fixed_branch_identity,2.0,1,0,1.0,0.015013560652732849,0.9230769230769231,0.07692307692307693,targeted_swap,4299,6,0.0,1.0,0.011638922616839409,1.0,7,2300,0
58,0,0,18,5.600916102366238e-05,True,71,tie,0.0,0,0,0.9655172413793104,0.022469088435173035,1.0,0.0,targeted_swap,4299,7,0.0,1.0,0.005268672481179237,1.0,8,2300,0
58,1,0,4,8.763543666745477e-05,True,55,fixed_branch_identity,2.0,0,1,1.0,0.01889166794717312,0.9655172413793104,0.034482758620689655,targeted_swap,4299,8,0.0,1.0,0.0041108569130301476,1.0,9,2300,0
64,0,0,75,3.354990750137343e-05,True,40,tie,0.0,0,0,1.0,0.03117539919912815,1.0,0.0,targeted_swap,4299,9,0.0,1.0,0.011959786526858807,1.0,10,2300,0
