study,seed,policy,delivered,generated,energy_uj,delivery_pp,packets_per_j
guard,9700215,selective,96,1056,2795712,9.090909090909092,34.338300940869445
guard,9700215,whole,96,1056,2643936,9.090909090909092,36.309502196724885
guard,9700216,block,104,864,2659760,12.037037037037036,39.101272295244684
guard,9700216,guard,104,864,2787176,12.037037037037036,37.31375413680371
guard,9700216,prefix,104,864,2787176,12.037037037037036,37.31375413680371
guard,9700216,selective,86,864,2788540,9.953703703703704,30.84051152215855
guard,9700216,whole,80,864,2635312,9.25925925925926,30.356936863642712
guard,9700217,block,116,864,2671616,13.425925925925926,43.41941356841702
guard,9700217,guard,116,864,2791080,13.425925925925926,41.56097281339123
guard,9700217,prefix,116,864,2791080,13.425925925925926,41.56097281339123
guard,9700217,selective,80,864,2790504,9.25925925925926,28.668656271411905
guard,9700217,whole,80,864,2643936,9.25925925925926,30.257918497270737
guard,9700218,block,102,672,2656066,15.178571428571429,38.40266017486011
guard,9700218,guard,102,672,2793418,15.178571428571429,36.5144063652486
guard,9700218,prefix,102,672,2794188,15.178571428571429,36.50434401693802
guard,9700218,selective,84,672,2788144,12.5,30.127568733896098
guard,9700218,whole,96,672,2618064,14.285714285714286,36.66831674092001
guard,9700219,block,84,864,2649384,9.722222222222221,31.70548323685808
guard,9700219,guard,80,864,2788576,9.25925925925926,28.688477559872855
guard,9700219,prefix,80,864,2788576,9.25925925925926,28.688477559872855
guard,9700219,selective,48,864,2794400,5.555555555555555,17.177211565989122
guard,9700219,whole,64,864,2643936,7.407407407407407,24.206334797816588
guard,9700220,block,116,672,2654054,17.261904761904763,43.70672186775401
guard,9700220,guard,116,672,2780134,17.261904761904763,41.724607518918155
guard,9700220,prefix,116,672,2780134,17.261904761904763,41.724607518918155
guard,9700220,selective,88,672,2783560,13.095238095238095,31.61419189814482
guard,9700220,whole,96,672,2626688,14.285714285714286,36.547926514302425
guard,9700221,block,140,1056,2667256,13.257575757575758,52.48840006358595
guard,9700221,guard,140,1056,2784976,13.257575757575758,50.269733024629296
guard,9700221,prefix,140,1056,2784976,13.257575757575758,50.269733024629296
guard,9700221,selective,96,1056,2781424,9.090909090909092,34.51469463123925
guard,9700221,whole,128,1056,2643936,12.121212121212121,48.412669595633176
guard,9700222,block,79,480,2665994,16.458333333333332,29.632474791766224
guard,9700222,guard,81,480,2769774,16.875,29.244263250359054
guard,9700222,prefix,81,480,2770994,16.875,29.23138772584856
guard,9700222,selective,64,480,2759528,13.333333333333334,23.192372028839713
guard,9700222,whole,48,480,2618064,10.0,18.334158370460006
guard,9700223,block,92,384,2630864,23.958333333333332,34.96950051389962
guard,9700223,guard,94,384,2766896,24.479166666666668,33.973087532021445
guard,9700223,prefix,96,384,2771056,25.0,34.64383253171354
guard,9700223,selective,72,384,2778128,18.75,25.916732418376693
guard,9700223,whole,88,384,2618064,22.916666666666668,33.61262367917667
